,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,25910,14565,9442,11988,10401,14461.2
1,ProductCD,1367,989,954,1097,998,1081.0
2,card1,44499,28214,19307,23364,21512,27379.2
3,card2,32859,20671,14076,17503,15580,20137.8
4,card3,1488,1094,872,902,943,1059.8
5,card4,2725,1842,1347,1580,1522,1803.2
6,card5,11004,7157,4658,5899,5134,6770.4
7,card6,2075,1506,1375,1414,1188,1511.6
8,addr1,30351,18904,12867,15776,14399,18459.4
9,addr2,235,342,189,228,239,246.6
10,dist1,21494,13241,8839,11455,10045,13014.8
11,P_emaildomain,10564,6241,4407,5471,5053,6347.2
12,R_emaildomain,4687,2915,2336,2949,2599,3097.2
13,C1,9959,6991,5079,5938,5328,6659.0
14,C2,9222,6373,4377,5362,4857,6038.2
15,C4,1216,946,780,800,721,892.6
16,C5,3399,2246,1547,1938,1754,2176.8
17,C6,7367,5108,3654,4527,3919,4915.0
18,C7,755,525,421,434,376,502.2
19,C8,2814,1754,1253,1269,1198,1657.6
20,C9,6044,3941,3118,3613,3280,3999.2
21,C10,2486,1658,1191,1339,1221,1579.0
22,C11,6731,4800,3478,4034,3724,4553.4
23,C12,2598,2004,1270,1471,1295,1727.6
24,C13,13255,9984,7245,8936,7964,9476.8
25,C14,8224,5698,4204,4908,4512,5509.2
26,D1,13413,9076,6460,7447,6932,8665.6
27,D2,15002,10125,7400,9396,8049,9994.4
28,D3,7485,5415,3654,4243,3900,4939.4
29,D4,17266,11305,7729,9670,8356,10865.2
30,D5,8876,5713,3605,4600,3892,5337.2
31,D6,3560,2207,1511,1771,1567,2123.2
32,D8,10404,6995,4946,5812,5166,6664.6
33,D9,4987,3230,2010,2791,2207,3045.0
34,D10,14140,9435,7113,8217,7433,9267.6
35,D11,12449,8106,5118,5608,5052,7266.6
36,D12,3425,2107,1368,1560,1417,1975.4
37,D13,2290,1683,1039,1121,1158,1458.2
38,D14,4395,2592,1673,1998,1684,2468.4
39,D15,10307,6853,5075,6097,5449,6756.2
40,M2,1329,945,719,649,660,860.4
41,M3,1927,1241,934,1028,1004,1226.8
42,M4,5099,3264,2291,2613,2450,3143.4
43,M5,4446,2767,2100,2442,2202,2791.4
44,M6,3720,2561,1845,2204,2120,2490.0
45,M7,1972,1105,808,830,808,1104.6
46,M8,1693,930,888,844,727,1016.4
47,M9,2275,1410,1028,1128,998,1367.8
48,V3,1080,658,362,470,386,591.2
49,V4,1926,1082,731,884,765,1077.6
50,V5,2445,1552,990,1169,871,1405.4
51,V6,837,533,329,420,323,488.4
52,V7,1010,729,508,589,445,656.2
53,V8,478,274,246,261,103,272.4
54,V9,436,222,198,219,164,247.8
55,V10,1353,689,360,446,390,647.6
56,V11,1391,784,376,477,430,691.6
57,V12,2052,1348,933,1013,971,1263.4
58,V13,2129,1457,1186,1247,1177,1439.2
59,V17,155,194,87,87,100,124.6
60,V19,1716,1271,930,1104,994,1203.0
61,V20,2232,1711,1321,1364,1286,1582.8
62,V29,942,624,439,521,497,604.6
63,V30,1031,687,461,557,527,652.6
64,V33,298,351,235,214,245,268.6
65,V34,462,373,262,252,345,338.8
66,V35,2773,1639,1149,1466,1301,1665.6
67,V36,2726,1638,1112,1422,1255,1630.6
68,V37,1550,982,768,909,746,991.0
69,V38,2490,1650,996,1364,1254,1550.8
70,V40,972,609,354,495,452,576.4
71,V44,2145,1283,1091,1172,971,1332.4
72,V45,2726,1793,1287,1456,1371,1726.6
73,V46,345,221,183,239,212,240.0
74,V47,878,599,467,608,519,614.2
75,V48,1298,834,544,660,594,786.0
76,V49,1585,999,595,796,731,941.2
77,V51,701,449,273,346,346,423.0
78,V52,901,656,439,550,540,617.2
79,V53,2342,1641,1165,1609,1324,1616.2
80,V54,2418,1527,1064,1329,1260,1519.6
81,V56,1714,1169,860,1054,966,1152.6
82,V58,402,382,231,223,333,314.2
83,V59,382,247,159,181,161,226.0
84,V60,464,269,174,191,199,259.4
85,V61,2291,1523,1167,1523,1350,1570.8
86,V62,2835,1960,1485,1698,1663,1928.2
87,V63,310,162,121,215,153,192.2
88,V64,590,296,306,298,300,358.0
89,V69,973,627,472,511,483,613.2
90,V70,1103,745,514,600,617,715.8
91,V71,221,200,107,111,131,154.0
92,V72,236,264,136,171,186,198.6
93,V73,488,375,228,293,289,334.6
94,V74,828,685,464,615,543,627.0
95,V75,2468,1701,1247,1426,1407,1649.8
96,V76,2576,1525,1242,1445,1326,1622.8
97,V78,2621,1678,1169,1422,1353,1648.6
98,V80,361,212,138,170,137,203.6
99,V81,628,370,252,312,304,373.2
100,V82,2611,1531,1253,1507,1500,1680.4
101,V83,2878,1958,1250,1896,1616,1919.6
102,V84,187,138,81,107,73,117.2
103,V85,497,339,170,239,184,285.8
104,V87,3062,2035,1343,1781,1600,1964.2
105,V90,1033,649,480,619,552,666.6
106,V91,1098,776,517,559,526,695.2
107,V92,112,152,93,95,94,109.2
108,V93,247,195,158,186,199,197.0
109,V94,279,329,189,223,205,245.0
110,V95,433,275,125,165,138,227.2
111,V96,1485,957,708,802,656,921.6
112,V97,570,357,221,243,257,329.6
113,V99,1292,933,734,880,646,897.0
114,V100,289,162,145,151,133,176.0
115,V126,2048,1222,683,945,737,1127.0
116,V127,4298,2604,1636,2128,1515,2436.2
117,V128,2447,1389,879,1144,916,1355.0
118,V130,4164,2621,2002,2494,1733,2602.8
119,V131,2432,1394,1141,1315,1073,1471.0
120,V138,19,5,14,16,24,15.6
121,V139,834,596,419,566,483,579.6
122,V140,591,435,310,355,309,400.0
123,V143,359,449,463,497,345,422.6
124,V145,397,342,250,344,268,320.2
125,V146,111,148,102,109,88,111.6
126,V147,210,181,111,154,127,156.6
127,V149,618,499,447,501,496,512.2
128,V150,496,393,244,341,290,352.8
129,V151,143,182,120,168,129,148.4
130,V152,346,342,197,389,337,322.2
131,V154,228,112,101,173,112,145.2
132,V156,535,421,257,310,292,363.0
133,V158,222,115,106,131,132,141.2
134,V159,409,282,221,320,278,302.0
